So there is no way for me to plug it in here in the US unless I go by a converter.	,Negative
Good case Excellent value.	,Positive
Great for the jawbone.	,Positive
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!	,Negative
The mic is great.	,Positive
I have to jiggle the plug to get it to line up right to get decent volume.	,Negative
If you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one.	,Negative
If you are Razr owner...you must have this!	,Positive
Needless to say I wasted my money.	,Negative
What a waste of money and time!.	,Negative
And the sound quality is great.	,Positive
He was very impressed when going from the original battery to the extended battery.	,Positive
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.	,Negative
Very good quality though	,Positive
The design is very odd as the ear "clip" is not very comfortable at all.	,Negative
Highly recommend for any one who has a blue tooth phone.	,Positive
I advise EVERYONE DO NOT BE FOOLED!	,Negative
So Far So Good!.	,Positive
Works great!.	,Positive
It clicks into place in a way that makes you wonder how long that mechanism would last.	,Negative
I went on Motorola's website and followed all directions but could not get it to pair again.	,Negative
I bought this to use with my Kindle Fire and absolutely loved it!	,Positive
The commercials are the most misleading.	,Negative
I have yet to run this new battery below two bars and that's three days without charging.	,Positive
I bought it for my mother and she had a problem with the battery.	,Negative
Great Pocket PC / phone combination.	,Positive
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.	,Positive
I didn't think that the instructions provided were helpful to me.	,Negative
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.	,Negative
Doesn't hold charge.	,Negative
This is a simple little phone to use but the breakage is unacceptible.	,Negative
This product is ideal for people like me whose ears are very sensitive.	,Positive
It is unusable in a moving car at freeway speed.	,Negative
I have two more years left in this contract and I hate this phone.	,Negative
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended	,Positive
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.	,Negative
It has kept up very well.	,Positive
Poor Talk Time Performance.	,Negative
The case is great and works fine with the 68,Negative.	,Positive
worthless product.	,Negative
It has a great camera thats 2MP and the pics are nice and clear with great picture quality.	,Positive
I was not impressed by this product.	,Negative
Nice headset priced right.	,Positive
I only hear garbage for audio.	,Negative
Excellent bluetooth headset.	,Positive
It has all the features I want	,Positive
Who in their right mind is gonna buy this battery?.	,Negative
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.	,Negative
This case seems well made.	,Positive
Disappointed with battery.	,Negative
Not loud enough and doesn't turn on like it should.	,Negative
good protection and does not make phone too bulky.	,Positive
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.	,Positive
This phone is pretty sturdy and I've never had any large problems with it.	,Positive
I love this thing!	,Positive
Everything about it is fine and reasonable for the price i.e.	,Positive
VERY DISAPPOINTED.	,Negative
I even dropped this phone into a stream and it was submerged for ,Positive5 seconds and it still works great!	,Positive
I have been very happy with the 5,Positive,Negative and have had NO complaints from any one regarding my sound quality on their end.	,Positive
The buttons for on and off are bad.	,Negative
Essentially you can forget Microsoft's tech support.	,Negative
I really recommend this faceplates since it looks very nice elegant and cool.	,Positive
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.	,Positive
Buy a different phone - but not this.	,Negative
You have to hold the phone at a particular angle for the other party to hear you clearly.	,Negative
